"module","controller","action","http_method","route_attribute","is_api","mutating","antiforgery","permission_attributes","inherited_permission","in_body_authorization","action_attributes","uses_scopedtx","uses_notify","uses_businessevent","file"
"Identity","AccountingController","CreateFixedAsset","POST","","False","True","True","CrossBuy.Models.AccPerm(""post"")","SessionValidation","False","SessionValidation;HttpPost;ValidateAntiForgeryToken;CrossBuy.Models.AccPerm(""post"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","FixedAssetDetail","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","SaveMaintenanceSchedule","POST","","False","True","True","CrossBuy.Models.AccPerm(""manage"")","SessionValidation","False","SessionValidation;HttpPost;ValidateAntiForgeryToken;CrossBuy.Models.AccPerm(""manage"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","DeleteMaintenanceSchedule","POST","","False","True","True","CrossBuy.Models.AccPerm(""manage"")","SessionValidation","False","SessionValidation;HttpPost;ValidateAntiForgeryToken;CrossBuy.Models.AccPerm(""manage"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","LogMaintenance","POST","","False","True","True","CrossBuy.Models.AccPerm(""post"")","SessionValidation","False","SessionValidation;HttpPost;ValidateAntiForgeryToken;CrossBuy.Models.AccPerm(""post"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","MaintenanceDue","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","DisposeAsset","POST","","False","True","True","CrossBuy.Models.AccPerm(""manage"")","SessionValidation","False","SessionValidation;HttpPost;ValidateAntiForgeryToken;CrossBuy.Models.AccPerm(""manage"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","AssetCategories","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","CreateAssetCategory","POST","","False","True","True","CrossBuy.Models.AccPerm(""manage"")","SessionValidation","False","SessionValidation;HttpPost;ValidateAntiForgeryToken;CrossBuy.Models.AccPerm(""manage"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","DepreciationRuns","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","RunDepreciation","POST","","False","True","True","CrossBuy.Models.AccPerm(""manage"")","SessionValidation","False","SessionValidation;HttpPost;ValidateAntiForgeryToken;CrossBuy.Models.AccPerm(""manage"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","DepreciationRunDetail","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","TaxCodes","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","CreateTaxCode","POST","","False","True","True","CrossBuy.Models.AccPerm(""manage"")","SessionValidation","False","SessionValidation;HttpPost;ValidateAntiForgeryToken;CrossBuy.Models.AccPerm(""manage"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","UpdateTaxCode","POST","","False","True","True","CrossBuy.Models.AccPerm(""manage"")","SessionValidation","False","SessionValidation;HttpPost;ValidateAntiForgeryToken;CrossBuy.Models.AccPerm(""manage"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","ToggleTaxCode","POST","","False","True","True","CrossBuy.Models.AccPerm(""manage"")","SessionValidation","False","SessionValidation;HttpPost;ValidateAntiForgeryToken;CrossBuy.Models.AccPerm(""manage"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","VatReturns","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","FileVatReturn","POST","","False","True","True","CrossBuy.Models.AccPerm(""manage"")","SessionValidation","False","SessionValidation;HttpPost;ValidateAntiForgeryToken;CrossBuy.Models.AccPerm(""manage"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","VatReturnDetail","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","SettleVatReturn","POST","","False","True","True","CrossBuy.Models.AccPerm(""manage"")","SessionValidation","False","SessionValidation;HttpPost;ValidateAntiForgeryToken;CrossBuy.Models.AccPerm(""manage"")","False","False","False","CrossBuy/Controllers/AccountingController.cs"
"Identity","AccountingController","EtaStatus","GET","","False","False","False","(none)","SessionValidation","False","SessionValidation;HttpGet","False","False","False","CrossBuy/Controllers/AccountingController.cs"
