"module","controller","action","http_method","mutating","antiforgery","is_api","permission_attributes","inherited_permission","in_body_authorization","file"
"POS","PosController","DeleteTable","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
"POS","PosController","RegenerateQr","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
"POS","PosController","AddQuickItemJson","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
"POS","PosController","SaveModifierGroup","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
"POS","PosController","DeleteModifierGroup","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
"POS","PosController","SaveModifierOption","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
"POS","PosController","DeleteModifierOption","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
"POS","PosController","AttachModifierItemJson","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
"POS","PosController","DetachModifierItem","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
"POS","PosController","SavePaymentMethod","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
"POS","PosController","DeletePaymentMethod","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
"POS","PosController","AssignPosRole","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
"POS","PosController","RemovePosRole","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
"POS","PosController","SaveTerminal","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
"POS","PosController","DeleteTerminal","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
"POS","PosController","OpenShift","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
"POS","PosController","CloseShift","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
"POS","PosController","SaveMenuGroup","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
"POS","PosController","DeleteMenuGroup","POST","True","True","False","(none)","SessionValidation","False","CrossBuy/Controllers/PosController.cs"
