domain,entity,module,namespace,file,base,primary_key,company_field,branch_field,status_field,has_createdat,has_createdby,has_updatedat,soft_delete,polymorphic,property_count
Accounting,SalesReturn,Unclassified,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/ReceivablesPayables.cs,,ID,CompanyID,,Status,True,False,False,False,False,20
Accounting,SalesReturnLine,Unclassified,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/ReceivablesPayables.cs,,ID,,,,False,False,False,False,False,13
Accounting,Subcontract,Unclassified,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/Subcontract.cs,,ID,CompanyID,,Status,True,True,False,False,False,10
Accounting,SubcontractBilling,Projects,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/Subcontract.cs,,ID,CompanyID,,Status,True,True,False,False,False,22
Accounting,TaxCode,Accounting,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/Taxes.cs,,ID,CompanyID,,IsActive,True,False,False,False,False,10
Accounting,VariationOrder,Projects,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/VariationOrder.cs,,ID,CompanyID,,Status,True,True,False,False,False,14
Accounting,VariationOrderLine,Projects,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/VariationOrder.cs,,ID,,,,False,False,False,False,False,17
Accounting,VatReturn,Unclassified,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/Taxes.cs,,ID,CompanyID,,Status,True,False,False,False,False,12
Accounting,Vendor,Unclassified,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/ReceivablesPayables.cs,,ID,CompanyID,,IsActive,True,False,False,False,False,15
Accounting,YearEndClosing,Accounting,CrossBuy.Models.Context.Accounting,CrossBuy/Models/Context/Accounting/Closing.cs,,ID,CompanyID,,Status,True,False,False,False,False,11
Admin,AdministrativeBodiesCompany,HR,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/AdministrativeBodiesCompany.cs,BaseEntity,,,,,False,False,False,False,False,4
Admin,ApplicationDocument,Unclassified,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/Recruitment.cs,,ID,,,,False,False,False,False,False,11
Admin,Appraisal,HR,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/Appraisal.cs,,ID,CompanyID,,Status,True,True,False,False,False,15
Admin,AppraisalCriterion,HR,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/Appraisal.cs,,ID,,,,False,False,False,False,False,7
Admin,AppraisalCycle,HR,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/Appraisal.cs,,ID,CompanyID,,Status,True,False,False,False,False,9
Admin,AppraisalLine,HR,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/Appraisal.cs,,ID,,,,False,False,False,False,False,5
Admin,AppraisalTemplate,HR,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/Appraisal.cs,,ID,CompanyID,,IsActive,True,False,False,False,False,7
Admin,Attachment,Unclassified,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/Attachment.cs,BaseEntity,Id,,,,False,False,False,False,False,6
Admin,AttendancePolicies,HR,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/AttendancePolicies.cs,BaseEntity,ID,,,,False,False,False,False,False,36
Admin,AttendanceRecord,HR,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/AttendanceRecord.cs,,ID,CompanyID,,Status,True,True,False,False,False,15
Admin,Branch,Unclassified,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/Branch.cs,BaseEntity,ID,CompanyID,,,False,False,False,False,False,16
Admin,Brand,Inventory,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/Brand.cs,,ID,CompanyId,,IsActive,True,False,False,False,False,18
Admin,Companies,Unclassified,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/Companies.cs,BaseEntity,,CompanyID,,,False,False,False,False,False,17
Admin,CompanyType,Admin,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/CompanyType.cs,,Id,,,,False,False,False,False,False,4
Admin,CountriesLookup,Unclassified,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/CountriesLookup.cs,,ID,,,,False,False,False,False,False,6
Admin,Employee,HR,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/Employee.cs,BaseEntity,ID,,BranchID,IsActive,False,False,False,False,False,28
Admin,EmployeeDocument,HR,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/EmployeeDocument.cs,,ID,CompanyID,,,True,False,False,False,False,10
Admin,EmployeeRequest,HR,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/EmployeeRequest.cs,,ID,CompanyID,,Status,True,True,True,False,False,21
Admin,EmployeeRequestStep,HR,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/EmployeeRequest.cs,,ID,,,Status,True,True,True,False,False,12
Admin,EmploymentContract,HR,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/EmploymentContract.cs,,ID,CompanyID,,Status,True,False,False,False,False,10
Admin,FinalSettlement,HR,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/FinalSettlement.cs,,ID,CompanyID,,,True,False,False,False,False,15
Admin,Hierarchical,Unclassified,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/Hierarchical.cs,BaseEntity,,,,IsActive,False,False,False,False,False,10
Admin,HierarchicalType,Unclassified,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/HierarchicalType.cs,,ID,,,,False,False,False,False,False,3
Admin,HrDocumentAttachment,HR,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/HrDocumentAttachment.cs,,ID,CompanyID,,,False,False,False,False,False,7
Admin,JobApplication,Unclassified,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/Recruitment.cs,,ID,CompanyID,BranchID,Status,True,True,True,False,False,36
Admin,JobTitle,HR,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/JobTitle.cs,,ID,,,,False,False,False,False,False,4
Admin,LeaveApprovalStep,HR,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/LeaveApprovalStep.cs,BaseEntity,ID,,,Status,False,False,False,False,False,9
Admin,LeaveCarryOver,HR,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/LeaveCarryOver.cs,,ID,CompanyID,,,True,False,False,False,False,7
Admin,LeaveEncashment,HR,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/LeaveEncashment.cs,,ID,CompanyID,,,True,False,False,False,False,12
Admin,LeavePolicies,HR,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/LeavePolicies.cs,BaseEntity,ID,,,,False,False,False,False,False,9
Admin,LeaveProvisionRun,HR,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/LeaveProvisionRun.cs,,ID,CompanyID,,,True,False,False,False,False,8
Admin,LeaveRequest,HR,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/LeaveRequest.cs,BaseEntity,ID,,,Status,False,False,False,False,False,16
Admin,LeaveTypes,HR,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/LeaveTypes.cs,BaseEntity,ID,,,,False,False,False,False,False,6
Admin,Notification,Communication,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/Notification.cs,BaseEntity,ID,CompanyID,BranchID,,False,False,False,False,True,22
Admin,NotificationMute,Communication,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/Notification.cs,,ID,,,,True,False,False,False,False,4
Admin,OfficialHoliday,HR,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/OfficialHoliday.cs,,ID,CompanyID,,,True,False,False,False,False,8
Admin,Payslip,Unclassified,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/Payslip.cs,,ID,CompanyID,,,True,False,False,False,False,21
Admin,Policies,Unclassified,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/Policies.cs,BaseEntity,ID,,,,False,False,False,False,False,8
Admin,PolicyAssignments,Unclassified,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/PolicyAssignments.cs,BaseEntity,ID,,,,False,False,False,False,False,5
Admin,RequiredDocumentType,Unclassified,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/Recruitment.cs,,ID,CompanyID,,IsActive,True,False,False,False,False,8
Admin,SalaryPolicies,Unclassified,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/SalaryPolicies.cs,BaseEntity,ID,,,,False,False,False,False,False,18
Admin,SystemForms,Unclassified,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/SystemForms.cs,BaseEntity,Id,,,,False,False,False,False,False,3
Admin,TrainingCourse,HR,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/Training.cs,,ID,CompanyID,,IsActive,True,False,False,False,False,15
Admin,TrainingEnrollment,HR,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/Training.cs,,ID,CompanyID,,Status,True,False,False,False,False,10
Admin,Users,Admin,CrossBuy.Models.Context.Admin,CrossBuy/Models/Context/Admin/Users.cs,IdentityUser,,,,IsActive,False,False,False,False,False,2
Calendar,CalendarEvent,Communication,CrossBuy.Models.Context.Calendar,CrossBuy/Models/Context/Calendar/CalendarEvent.cs,BaseEntity,Id,CompanyID,,,False,False,False,True,False,11
Calendar,CalendarEventAttendee,Communication,CrossBuy.Models.Context.Calendar,CrossBuy/Models/Context/Calendar/CalendarEvent.cs,,Id,,,,False,False,False,False,False,3
Chat,ChatMessage,Communication,CrossBuy.Models.Context.Chat,CrossBuy/Models/Context/Chat/Chat.cs,,ID,,,,True,False,False,True,False,11
Chat,ChatReaction,Communication,CrossBuy.Models.Context.Chat,CrossBuy/Models/Context/Chat/Chat.cs,,ID,,,,True,False,False,False,False,5
Chat,Conversation,Unclassified,CrossBuy.Models.Context.Chat,CrossBuy/Models/Context/Chat/Chat.cs,,ID,CompanyID,,,True,False,False,False,False,8
Chat,ConversationMember,Unclassified,CrossBuy.Models.Context.Chat,CrossBuy/Models/Context/Chat/Chat.cs,,ID,,,,False,False,False,False,False,7
Comm,Announcement,Communication,CrossBuy.Models.Context.Comm,CrossBuy/Models/Context/Comm/Announcement.cs,BaseEntity,Id,CompanyID,BranchID,IsActive,False,False,False,False,False,10
Comm,AnnouncementRead,Communication,CrossBuy.Models.Context.Comm,CrossBuy/Models/Context/Comm/Announcement.cs,,Id,,,,False,False,False,False,False,4
Comm,CommAttachment,Communication,CrossBuy.Models.Context.Comm,CrossBuy/Models/Context/Comm/CommMessage.cs,,Id,,,,True,False,False,False,False,6
Comm,CommMessage,Communication,CrossBuy.Models.Context.Comm,CrossBuy/Models/Context/Comm/CommMessage.cs,BaseEntity,Id,CompanyID,,Status,False,False,False,True,False,14
Comm,DocComment,Communication,CrossBuy.Models.Context.Comm,CrossBuy/Models/Context/Comm/DocComment.cs,BaseEntity,Id,CompanyID,,,False,False,False,True,True,6
Context,CrossDbContext,Unclassified,CrossBuy.Models.Context,CrossBuy/Models/Context/CrossDbContext.cs,IdentityDbContext<Users>,,,,,False,False,False,False,False,28
Crm,Activity,Unclassified,CrossBuy.Models.Context.Crm,CrossBuy/Models/Context/Crm/Crm.cs,,ID,CompanyID,,,True,True,False,False,True,18
Crm,Campaign,Unclassified,CrossBuy.Models.Context.Crm,CrossBuy/Models/Context/Crm/Crm.cs,,ID,CompanyID,,Status,True,True,False,False,False,13
Crm,CampaignMember,Unclassified,CrossBuy.Models.Context.Crm,CrossBuy/Models/Context/Crm/Crm.cs,,ID,CompanyID,,Status,True,False,False,False,True,10
Crm,CrmAccount,CRM,CrossBuy.Models.Context.Crm,CrossBuy/Models/Context/Crm/Crm.cs,,ID,CompanyID,,IsActive,True,True,False,False,False,19
