path,file,kind,ext,bytes,sha256_12,reference_count,referenced_by
CrossBuy/wwwroot/Backend-assets/media/email/icon-linkedin.svg,icon-linkedin.svg,brand-mark,svg,1200,15a6c7a1a6c2,0,
CrossBuy/wwwroot/Backend-assets/media/email/icon-polygon.svg,icon-polygon.svg,brand-mark,svg,492,dfec4a6f7fb1,0,
CrossBuy/wwwroot/Backend-assets/media/email/icon-positive-vote-1.svg,icon-positive-vote-1.svg,brand-mark,svg,12536,ed03c70ce811,0,
CrossBuy/wwwroot/Backend-assets/media/email/icon-positive-vote-2.svg,icon-positive-vote-2.svg,brand-mark,svg,10300,1e399993cbdf,0,
CrossBuy/wwwroot/Backend-assets/media/email/icon-positive-vote-3.svg,icon-positive-vote-3.svg,brand-mark,svg,15064,0604a19937bb,0,
CrossBuy/wwwroot/Backend-assets/media/email/icon-positive-vote-4.svg,icon-positive-vote-4.svg,brand-mark,svg,9382,0ae9c90c52cd,0,
CrossBuy/wwwroot/Backend-assets/media/email/icon-twitter.svg,icon-twitter.svg,brand-mark,svg,1361,3e2b08122860,0,
CrossBuy/wwwroot/Backend-assets/media/email/logo-1.svg,logo-1.svg,brand-mark,svg,5266,89389b76bc27,0,
CrossBuy/wwwroot/Backend-assets/media/email/logo-2.svg,logo-2.svg,brand-mark,svg,5269,4d2e42c92dff,0,
CrossBuy/wwwroot/Backend-assets/media/logos/MOI_Logo.png,MOI_Logo.png,brand-mark,png,46122,842e0b90acc2,0,
CrossBuy/wwwroot/Backend-assets/media/logos/crossbuy-favicon.svg,crossbuy-favicon.svg,brand-mark,svg,430,149b5c7ba2ca,12,CrossBuy/Views/Account/Login.cshtml; CrossBuy/Views/Hyper/PosLogin.cshtml; CrossBuy/Views/Portal/Choose.cshtml; CrossBuy/Views/PosApp/Login.cshtml …
CrossBuy/wwwroot/Backend-assets/media/logos/crossbuy-logo-light.svg,crossbuy-logo-light.svg,brand-mark,svg,741,6589e169345e,2,CrossBuy/Views/Hyper/PosLogin.cshtml; CrossBuy/Views/PosApp/Login.cshtml
CrossBuy/wwwroot/Backend-assets/media/logos/crossbuy-logo.svg,crossbuy-logo.svg,brand-mark,svg,893,5ac636830f4a,7,CrossBuy/Views/Shared/_LayoutAccounting.cshtml; CrossBuy/Views/Shared/_LayoutBackend.cshtml; CrossBuy/Views/Shared/_LayoutHyperPos.cshtml; CrossBuy/Views/Shared/_LayoutInventory.cshtml …
CrossBuy/wwwroot/Backend-assets/media/logos/favicon.ico,favicon.ico,brand-mark,ico,18278,f7e4933a1325,13,CrossBuy/Views/Account/Login.cshtml; CrossBuy/Views/Hyper/PosLogin.cshtml; CrossBuy/Views/Portal/Choose.cshtml; CrossBuy/Views/PosApp/Login.cshtml …
CrossBuy/wwwroot/Backend-assets/media/logos/favicon.png,favicon.png,brand-mark,png,259510,7d59500ee8a8,0,
CrossBuy/wwwroot/Backend-assets/media/logos/kuwaitLogo.png,kuwaitLogo.png,brand-mark,png,259510,7d59500ee8a8,0,
CrossBuy/wwwroot/Backend-assets/media/svg/brand-logos/android-wordmark.svg,android-wordmark.svg,brand-mark,svg,2048,088d541a3871,0,
CrossBuy/wwwroot/Backend-assets/media/svg/brand-logos/angular-icon-1.svg,angular-icon-1.svg,brand-mark,svg,510,51f2d716f12a,0,
CrossBuy/wwwroot/Backend-assets/media/svg/brand-logos/banco-santander-logo.svg,banco-santander-logo.svg,brand-mark,svg,2315,6ddc3fcda15e,0,
CrossBuy/wwwroot/Backend-assets/media/svg/brand-logos/biman-airlines-classic-logo.svg,biman-airlines-classic-logo.svg,brand-mark,svg,6689,d7bdc4708aa3,0,
CrossBuy/wwwroot/Backend-assets/media/svg/brand-logos/canon-logo.svg,canon-logo.svg,brand-mark,svg,2105,18b30a8b7b14,0,
CrossBuy/wwwroot/Backend-assets/media/svg/brand-logos/costco-wholesale-logo.svg,costco-wholesale-logo.svg,brand-mark,svg,4560,73e8e742a2de,0,
CrossBuy/wwwroot/Backend-assets/media/svg/brand-logos/decathlon-logo.svg,decathlon-logo.svg,brand-mark,svg,1786,043da2249911,0,
CrossBuy/wwwroot/Backend-assets/media/svg/brand-logos/dribbble-icon-1.svg,dribbble-icon-1.svg,brand-mark,svg,1110,eee1a3403b7f,0,
CrossBuy/wwwroot/Backend-assets/media/svg/brand-logos/keysight-logo.svg,keysight-logo.svg,brand-mark,svg,4995,1b9144afe113,0,
CrossBuy/wwwroot/Backend-assets/media/svg/brand-logos/lloyds-of-london-logo.svg,lloyds-of-london-logo.svg,brand-mark,svg,2111,1b1b4c6d41e3,0,
CrossBuy/wwwroot/Backend-assets/media/svg/brand-logos/maxis-communications-logo.svg,maxis-communications-logo.svg,brand-mark,svg,2967,000cf0778d2e,0,
CrossBuy/wwwroot/Backend-assets/media/svg/brand-logos/new-beko-logo.svg,new-beko-logo.svg,brand-mark,svg,1262,394774f24a8b,0,
CrossBuy/wwwroot/Backend-assets/media/svg/brand-logos/puma-logo.svg,puma-logo.svg,brand-mark,svg,3344,b2707bc43e06,0,
CrossBuy/wwwroot/Backend-assets/media/svg/brand-logos/slack-new-logo.svg,slack-new-logo.svg,brand-mark,svg,1394,c0af31c6ff06,0,
CrossBuy/wwwroot/Backend-assets/media/svg/brand-logos/soriana-logo-1.svg,soriana-logo-1.svg,brand-mark,svg,2642,4701ee6dbd64,0,
CrossBuy/wwwroot/Backend-assets/media/svg/brand-logos/spotify-logo.svg,spotify-logo.svg,brand-mark,svg,4041,1496987e7ee1,0,
CrossBuy/wwwroot/Backend-assets/media/svg/brand-logos/strava-wordmark-1.svg,strava-wordmark-1.svg,brand-mark,svg,1546,aa7f3c90ceea,0,
